%             x              y              z       Ishigami 
  -2.508275679   0.7838302811  -0.9433252964    2.850339396 
  -2.064938829   -1.268734572    2.806652301   0.0372345752 
   2.945510124   0.2381437719   -2.465117051    1.303820596 
  -1.512422433   -1.153355735   -3.074806094   -4.072271079 
  -1.036862096    3.130689829    1.504599183   -1.301134595 
  -1.810115709    2.357359914   -1.415231345    2.130622812 
  -2.158091861  0.08245034923    2.062143563   -2.290286715 
 -0.7975152566   0.5155655792  -0.3373444485   0.9849797632 
  -3.024771096   -1.420189545   -2.224400157     6.44050842 
   2.111931973   -1.127871499    0.846394945    6.615323427 
   1.119401911   0.4685073505   -2.869183708    8.425309668 
 -0.9583205188    1.394359351   -2.542323676    2.547916078 
  -2.748174051   -2.765351348   -3.012833464   -2.596922363 
   2.226439004    1.917465569   -1.572098546    7.468741341 
 -0.2561895346  -0.6494421386    2.198536802    1.714577232 
   1.240573165    2.583332334   0.3692498423    2.911888054 
  0.8327845301    1.661140851   -2.270971148    9.650557244 
  0.6041012053  -0.8178504617    1.713304356    4.784473971 
  0.1390397837   -3.049894643  -0.7651534417    0.202037546 
 -0.2479607064    2.851741299   -1.866081401  0.02877435815 
    -2.6158237   -1.881580024    2.953588347    2.024078139 
   0.301434811   -2.724593724    0.100114516     1.44517281 
   1.965689763    2.728095153   0.9801266584    2.138403959 
  -1.140555738    2.090874141   0.7147237637    4.338719094 
   1.765634898    1.568903166    -1.20941659    8.190951527 
   1.326554888    -2.42063251  -0.4713092741    4.025290328 
  0.4145269834   -2.288230796   -1.704305358    4.716846573 
  -2.361902619  -0.1288160486   0.1492654904  -0.5875799624 
  -2.850505908    1.232783718    1.627565375    5.741852826 
  -1.300219015    1.052978685    2.304431032     1.60387654 
  -2.904066354   0.9425049918    1.996596272    3.972519192 
   2.851426203  -0.1191344281    2.728688359    1.971169767 
   2.378914451  -0.3020493004   0.3928045015    1.311954407 
 -0.1246094962   -1.964912889    1.203045069    5.817525564 
   2.559017268   -2.186952578   0.5152863651    5.216255768 
  -1.943754774    2.912637582   -1.334881075   -0.866368656 
  -1.449915877    1.811468721   -1.024334091    5.500311744 
 -0.5343574657    0.731154809 -0.05423714476     2.61175227 
 0.03663123957   -2.553877213   -2.059690033    2.254525524 
   2.679849743    2.445334891    1.345340145    3.470770169 
  0.7108049921   -2.114803499    2.609920927       8.804582 
   1.724567706   -1.659391537    3.026317103    16.22241252 
 -0.7345070902   -1.533049394    1.875887061    5.489872639 
 -0.3905192749   0.3533647317    1.128011404   0.3959862723 
  0.9814091605    -2.91128803   -2.009826285    2.552427524 
    1.50352069  -0.8922786779    2.431793798    8.729397188 
   1.613510477    2.195105054   -2.659371226     10.6044246 
   3.032176534  -0.5621868812  -0.5800821881    2.099339238 
   2.446368574     1.34450452  -0.7522173269    7.308687017 
  -1.639117046  -0.3883058376   -0.207704936 0.005623898512 
