%eval_id interface         Length          Width      Thickness  YoungsModulus        Density HorizontalLoad   VerticalLoad           Mass         Stress   Displacement 
1        interface1            100             10             10       29000000            500            100            100     2893.51852            120   0.0019506394 
2        interface1             20             10             10       29000000            500            100            100     578.703704             24 1.56051152e-05 
3        interface1             40             10             10       29000000            500            100            100     1157.40741             48 0.000124840921 
4        interface1             60             10             10       29000000            500            100            100     1736.11111             72  0.00042133811 
5        interface1             80             10             10       29000000            500            100            100     2314.81481             96 0.000998727371 
6        interface1            120             10             10       29000000            500            100            100     3472.22222            144  0.00337070488 
7        interface1            140             10             10       29000000            500            100            100     4050.92593            168   0.0053525545 
8        interface1            160             10             10       29000000            500            100            100     4629.62963            192  0.00798981897 
9        interface1            180             10             10       29000000            500            100            100     5208.33333            216    0.011376129 
10       interface1            100              2             10       29000000            500            100            100     578.703704           1800    0.172551669 
11       interface1            100              4             10       29000000            500            100            100     1157.40741            525   0.0218258429 
12       interface1            100              6             10       29000000            500            100            100     1736.11111     266.666667  0.00678688647 
13       interface1            100              8             10       29000000            500            100            100     2314.81481         168.75  0.00319845303 
14       interface1            100             12             10       29000000            500            100            100     3472.22222     91.6666667  0.00139940019 
15       interface1            100             14             10       29000000            500            100            100     4050.92593     73.4693878  0.00110604384 
16       interface1            100             16             10       29000000            500            100            100     4629.62963        60.9375  0.00092550557 
17       interface1            100             18             10       29000000            500            100            100     5208.33333     51.8518519 0.000801951448 
18       interface1            100             10              2       29000000            500            100            100     578.703704           1800    0.172551669 
19       interface1            100             10              4       29000000            500            100            100     1157.40741            525   0.0218258429 
20       interface1            100             10              6       29000000            500            100            100     1736.11111     266.666667  0.00678688647 
21       interface1            100             10              8       29000000            500            100            100     2314.81481         168.75  0.00319845303 
22       interface1            100             10             12       29000000            500            100            100     3472.22222     91.6666667  0.00139940019 
23       interface1            100             10             14       29000000            500            100            100     4050.92593     73.4693878  0.00110604384 
24       interface1            100             10             16       29000000            500            100            100     4629.62963        60.9375  0.00092550557 
25       interface1            100             10             18       29000000            500            100            100     5208.33333     51.8518519 0.000801951448 
26       interface1            100             10             10        5800000            500            100            100     2893.51852            120  0.00975319698 
27       interface1            100             10             10       11600000            500            100            100     2893.51852            120  0.00487659849 
28       interface1            100             10             10       17400000            500            100            100     2893.51852            120  0.00325106566 
29       interface1            100             10             10       23200000            500            100            100     2893.51852            120  0.00243829925 
30       interface1            100             10             10       34800000            500            100            100     2893.51852            120  0.00162553283 
31       interface1            100             10             10       40600000            500            100            100     2893.51852            120  0.00139331385 
32       interface1            100             10             10       46400000            500            100            100     2893.51852            120  0.00121914962 
33       interface1            100             10             10       52200000            500            100            100     2893.51852            120  0.00108368855 
34       interface1            100             10             10       29000000            100            100            100     578.703704            120   0.0019506394 
35       interface1            100             10             10       29000000            200            100            100     1157.40741            120   0.0019506394 
36       interface1            100             10             10       29000000            300            100            100     1736.11111            120   0.0019506394 
37       interface1            100             10             10       29000000            400            100            100     2314.81481            120   0.0019506394 
38       interface1            100             10             10       29000000            600            100            100     3472.22222            120   0.0019506394 
39       interface1            100             10             10       29000000            700            100            100     4050.92593            120   0.0019506394 
40       interface1            100             10             10       29000000            800            100            100     4629.62963            120   0.0019506394 
41       interface1            100             10             10       29000000            900            100            100     5208.33333            120   0.0019506394 
42       interface1            100             10             10       29000000            500             20            100     2893.51852             72  0.00140662607 
43       interface1            100             10             10       29000000            500             40            100     2893.51852             84  0.00148556271 
44       interface1            100             10             10       29000000            500             60            100     2893.51852             96  0.00160853845 
45       interface1            100             10             10       29000000            500             80            100     2893.51852            108   0.0017663791 
46       interface1            100             10             10       29000000            500            120            100     2893.51852            132  0.00215455163 
47       interface1            100             10             10       29000000            500            140            100     2893.51852            144  0.00237305525 
48       interface1            100             10             10       29000000            500            160            100     2893.51852            156  0.00260247755 
49       interface1            100             10             10       29000000            500            180            100     2893.51852            168  0.00284017383 
50       interface1            100             10             10       29000000            500            100             20     2893.51852             72  0.00140662607 
51       interface1            100             10             10       29000000            500            100             40     2893.51852             84  0.00148556271 
52       interface1            100             10             10       29000000            500            100             60     2893.51852             96  0.00160853845 
53       interface1            100             10             10       29000000            500            100             80     2893.51852            108   0.0017663791 
54       interface1            100             10             10       29000000            500            100            120     2893.51852            132  0.00215455163 
55       interface1            100             10             10       29000000            500            100            140     2893.51852            144  0.00237305525 
56       interface1            100             10             10       29000000            500            100            160     2893.51852            156  0.00260247755 
57       interface1            100             10             10       29000000            500            100            180     2893.51852            168  0.00284017383 
