%            N1             N2             U1             U2             T1             T2         random 
 0.06012586212   -8.299951476   0.7414846811    5.588364979 -0.01082302673   -2.876942257   0.9413900906 
   -1.78502314    -3.21605678   0.1075280385    4.269460249   0.1961153573   -3.695859739   0.2184632114 
  -0.742890309   -6.026171211  0.04227824151    3.194849295  -0.1661005479   -5.183005427   0.3396555135 
 -0.0235304058   -11.46977459   0.3896178001     3.50298512    0.345542845   -4.882443197   0.6242863771 
  0.8011241903   -9.151429289   0.7018912543    5.656309299  -0.7412177871    -2.39611403   0.3394779944 
 -0.4386931786   -10.35439665   0.8402492425    5.322133703   0.6733287746   -3.876709062   0.4627528739 
 -0.3844280766   -5.787460762   0.2027576958    4.161461612 -0.06015999636   -3.549997488   0.3695807452 
  0.1357848988   -3.115479289    0.143236756    3.297304997  -0.3421864319   -4.823991502   0.5216323761 
  -1.040209538    -5.60523735   0.2616314233    4.819902839   0.1121654693   -3.195992305   0.6584374819 
  -1.215352725   -3.300719721   0.1283795424    3.630848483   0.2230284997   -5.069752528   0.8137794225 
   2.144785088   -4.323441138   0.8801460087    3.265283223  -0.1424981947   -6.421647848  0.07054967696 
 -0.7902704302   -8.374057277  0.08768683746    3.801470379 -0.04513204562   -3.505168924    0.912841731 
 -0.3971157863   -7.794731477   0.5250676627    5.534094271   0.2680608257   -2.151504604   0.3479283489 
   1.702949106   -11.13243745   0.8442510192    5.675923371  -0.8510599673   -2.255287288   0.1311428807 
  -1.409313962   -5.293020154  0.09016360614    3.485050276   0.4652196675   -4.502332989   0.1898913281 
    2.47712508   -10.17557241   0.6910387901    3.456384222  -0.6668066841   -4.472760822   0.1254370271 
 -0.1592521148   -8.133174752   0.6074756201    5.155639182  -0.3054151514   -3.854971144   0.8699793918 
  -1.253769331   -1.698202276  0.08946912207    3.885213102   0.1870090742   -3.562866335   0.1606114219 
-0.07975561166   -6.414608112   0.3260906528    4.385953029   -0.255084541   -3.638752218   0.7265892309 
   0.999051193   -6.327299323   0.9307874901    5.318719357  -0.2526027317   -3.985646281   0.4422381298 
-0.05435055136   -1.805604569   0.5106723719    3.889029951   0.0702178265    -5.33620392    0.953207392 
  0.4080637341   -8.654791478   0.7996458909    4.775569627   -0.182504206   -4.726907067  0.03533449731 
  0.1972067539   -7.027481538   0.8471658724    3.894877752   0.6029271268   -6.399580885   0.7233666231 
 -0.1146814338   -9.488560326   0.3870533186    3.943122023  -0.2862123109   -5.164899423   0.2091072193 
  -1.092586839   -6.540153768   0.4449980565    5.064183846   0.7383409292   -3.171411403   0.4509457784 
  0.5066590465  -0.8881602306   0.8067422316     5.05946713   -0.149628603   -4.040353383   0.6711648303 
 -0.5118256952   -2.158251702   0.4302691991    5.038141728   0.3481722897   -2.783999841   0.4707383162 
  -1.492969264   -5.625959365  0.01316592843    3.374694325  -0.3640925065    -3.95088889   0.0199224203 
  0.3961202647   -4.743495733   0.2459062999    3.314748415  -0.1478647888   -4.956270236   0.6233364121 
   1.104916138   -7.363146602   0.9566172946    5.549766586   0.2468097148   -3.006538646   0.4259680273 
  -0.271354886   -4.881992723  0.05714624663    3.098458278  -0.2473066761   -5.599289541   0.5994093899 
 -0.9685541501   -9.352682692   0.7697018182     5.52691488   0.3763149329   -4.326988289 0.000980799288 
   1.479557441   -3.154933975   0.7168301162    5.112954645  -0.6021944754   -2.616266865   0.9168048729 
  0.2607580143   -0.485365434   0.8520371764    5.576534378 0.006736957739   -3.347137636   0.8597652288 
  -1.421977818   -7.187466622 0.003595953524    3.179977187   -0.151496348   -3.897189383   0.8099318862 
  0.0706013081   -4.137747295   0.5189321303      5.8046013  -0.6252947573    -1.88771218   0.9051759213 
  -1.364083508   -8.158757263  0.09617765838    3.968927391  -0.2752673057   -4.601270686  0.08340175344 
  -1.079694374   -7.233295282   0.5881850632    5.914046963   0.3527203984   -1.826277234   0.6361176577 
   2.024193883   -2.018006926   0.8950591452     4.47936732  -0.4554951717   -4.021875414    0.279250957 
 -0.8599169782    -4.12633556   0.2521124387     3.57010068   0.3362084638   -5.429525359   0.5066632751 
   1.178207206   -5.728560365   0.9128241317    5.688393753  -0.4774106108   -2.651706916   0.6626375905 
 0.09743855945   -5.760174515   0.7899415783    5.461482566   0.4627631298   -2.891750439   0.1834533485 
  0.5615474304   -2.489913086   0.8542678595    5.701042528  -0.1046663678   -2.540038849   0.3624390278 
  -1.605285389   -4.283209553    0.119860341    4.918995942   0.7541027286   -2.014215821   0.1275226151 
   1.171443448   -2.326348664   0.9320097277    5.109176067  -0.1897859284   -4.318148892   0.2275094205 
  -1.138430392      -6.306533   0.4680823241    5.800294396    0.725160232   -1.658995749   0.9644127079 
  -1.366518371   -5.458702808   0.4433246953    5.312823597   0.6681425358   -2.978108858   0.2933435717 
  0.3627459813   -9.058732974    0.239144532    3.430834579  -0.4894119444   -4.780420577   0.1519610731 
 -0.7856565133   -7.013925787  0.05034970086    3.089495413  -0.2316386752    -6.82651827   0.1769153002 
 -0.8197364253   -8.120221214   0.3512866923    4.485256807   0.5557006049   -3.433523488  0.06197878934 
  -1.293364077    -5.86029144   0.4882680106    3.980473571   0.8268569302   -5.780249147   0.9753936874 
   1.158363805   -10.06023993   0.8129912078    4.416869183 -0.002755876368   -4.367614435   0.5157907336 
  -1.586390383   -6.818576825  0.02415109935    3.862177527  -0.1855723866   -3.221942057   0.2368230586 
  -1.876783018   -3.863558941  0.02081619615    3.093317967   0.2430467655   -5.838433436   0.4704242546 
  -1.912924239   -7.340750059   0.1098815688    3.649644357   0.6886437698   -4.997659285   0.8455882408 
  0.7511021594   -7.219880648   0.7792840604    5.777770996  -0.6094562262   -2.195824142 0.009615642956 
  0.7648995307   -7.474418815   0.7873356232    5.283222599 0.001129355598   -3.042069485   0.5092789922 
  0.2430830638   -5.084206026   0.4643899124    5.270422916 -0.07769155655   -2.144903352   0.4251269602 
  0.4131226727   -6.200619162   0.8055943955    3.626613845   0.4515796568   -6.593256246   0.3775483991 
  0.8154605575   -7.885759194   0.4216831322    4.763919339  -0.6599245705   -2.642526736    0.383971218 
  0.6024906002   -3.954475869   0.5712641086    5.160467481  -0.3283646167   -2.441690961   0.9529900093 
 -0.1546984607   -5.245890735  0.03841876189       3.406243  -0.6438955016   -3.467631969   0.2557529698 
   1.560985362    -6.26156244   0.8681035426    3.737647856  0.01458528474   -5.719348696   0.3092533907 
   0.309492915   -6.361151079   0.2126762782    3.464148533  -0.5135777125   -4.636093635   0.4666977966 
   1.107704479   -7.631529117   0.9512272899    5.600011502   0.3714202635   -2.609803564   0.4052999935 
 -0.2602077014   -5.592585286   0.8000390595    5.923730628   0.2062606772   -1.964719428   0.4541095587 
   1.524415281   -7.138818454   0.5739307688    3.262941098 -0.03365823563   -5.207391302   0.0394634649 
